time,city,type,epa_amt,local_amt,moea_amt
2019/8/1,新竹縣,新購,3000,10000,10000
2019/9/1,新竹縣,新購,3000,10000,10000
2019/10/1,新竹縣,新購,3000,10000,10000
2019/11/1,新竹縣,新購,3000,10000,10000
2019/12/1,新竹縣,新購,3000,10000,10000
2015/8/1,苗栗縣,新購,5000,1200,10000
2015/9/1,苗栗縣,新購,5000,1200,10000
2015/10/1,苗栗縣,新購,5000,1200,10000
2015/11/1,苗栗縣,新購,5000,1200,10000
2015/12/1,苗栗縣,新購,5000,1200,10000
2016/1/1,苗栗縣,新購,4000,1200,10000
2016/2/1,苗栗縣,新購,4000,1200,10000
2016/3/1,苗栗縣,新購,4000,1200,10000
2016/4/1,苗栗縣,新購,4000,1200,10000
2016/5/1,苗栗縣,新購,4000,1200,10000
2016/6/1,苗栗縣,新購,4000,1200,10000
2016/7/1,苗栗縣,新購,4000,1200,10000
2016/8/1,苗栗縣,新購,4000,1200,10000
2016/9/1,苗栗縣,新購,4000,1200,10000
2016/10/1,苗栗縣,新購,4000,1200,10000
2016/11/1,苗栗縣,新購,4000,1200,10000
2016/12/1,苗栗縣,新購,4000,1200,10000
2017/1/1,苗栗縣,新購,4000,1200,10000
2017/2/1,苗栗縣,新購,4000,1200,10000
2017/3/1,苗栗縣,新購,4000,1200,10000
2017/4/1,苗栗縣,新購,4000,1200,10000
2017/5/1,苗栗縣,新購,4000,1200,10000
2017/6/1,苗栗縣,新購,4000,1200,10000
2017/7/1,苗栗縣,新購,4000,1200,10000
2017/8/1,苗栗縣,新購,4000,1200,10000
2017/9/1,苗栗縣,新購,4000,1200,10000
2017/10/1,苗栗縣,新購,4000,1200,10000
2017/11/1,苗栗縣,新購,4000,1200,10000
2017/12/1,苗栗縣,新購,3500,1200,10000
2018/1/1,苗栗縣,新購,3500,1050,10000
2018/2/1,苗栗縣,新購,3500,1050,10000
2018/3/1,苗栗縣,新購,3500,1050,10000
2018/4/1,苗栗縣,新購,3500,1050,10000
2018/5/1,苗栗縣,新購,3500,1050,10000
2018/6/1,苗栗縣,新購,3500,1050,10000
2018/7/1,苗栗縣,新購,3500,1050,10000
2018/8/1,苗栗縣,新購,3500,1050,10000
2018/9/1,苗栗縣,新購,3500,1050,10000
2018/10/1,苗栗縣,新購,3500,1050,10000
2018/11/1,苗栗縣,新購,3500,1050,10000
2018/12/1,苗栗縣,新購,3500,1050,10000
2019/1/1,苗栗縣,新購,3000,1550,10000
2019/2/1,苗栗縣,新購,3000,1550,10000
2019/3/1,苗栗縣,新購,3000,1550,10000
2019/4/1,苗栗縣,新購,3000,1550,10000
2019/5/1,苗栗縣,新購,3000,1550,10000
2019/6/1,苗栗縣,新購,3000,1550,10000
2019/7/1,苗栗縣,新購,3000,1550,10000
2019/8/1,苗栗縣,新購,3000,1550,10000
2019/9/1,苗栗縣,新購,3000,1550,10000
2019/10/1,苗栗縣,新購,3000,1550,10000
2019/11/1,苗栗縣,新購,3000,1550,10000
2019/12/1,苗栗縣,新購,3000,1550,10000
2015/8/1,彰化縣,新購,5000,1200,10000
2015/9/1,彰化縣,新購,5000,1200,10000
2015/10/1,彰化縣,新購,5000,1200,10000
2015/11/1,彰化縣,新購,5000,1200,10000
2015/12/1,彰化縣,新購,5000,1200,10000
2016/1/1,彰化縣,新購,4000,1200,10000
2016/2/1,彰化縣,新購,4000,1200,10000
2016/3/1,彰化縣,新購,4000,1200,10000
2016/4/1,彰化縣,新購,4000,1200,10000
2016/5/1,彰化縣,新購,4000,1200,10000
2016/6/1,彰化縣,新購,4000,1200,10000
2016/7/1,彰化縣,新購,4000,1200,10000
2016/8/1,彰化縣,新購,4000,1200,10000
2016/9/1,彰化縣,新購,4000,1200,10000
2016/10/1,彰化縣,新購,4000,1200,10000
2016/11/1,彰化縣,新購,4000,1200,10000
2016/12/1,彰化縣,新購,4000,1200,10000
2017/1/1,彰化縣,新購,4000,2000,10000
2017/2/1,彰化縣,新購,4000,2000,10000
2017/3/1,彰化縣,新購,4000,2000,10000
2017/4/1,彰化縣,新購,4000,2000,10000
2017/5/1,彰化縣,新購,4000,2000,10000
2017/6/1,彰化縣,新購,4000,2000,10000
2017/7/1,彰化縣,新購,4000,2000,10000
2017/8/1,彰化縣,新購,4000,2000,10000
2017/9/1,彰化縣,新購,4000,2000,10000
2017/10/1,彰化縣,新購,4000,2000,10000
2017/11/1,彰化縣,新購,4000,2000,10000
2017/12/1,彰化縣,新購,3500,2000,10000
2018/1/1,彰化縣,新購,3500,5000,10000
2018/2/1,彰化縣,新購,3500,5000,10000
2018/3/1,彰化縣,新購,3500,5000,10000
2018/4/1,彰化縣,新購,3500,5000,10000
2018/5/1,彰化縣,新購,3500,5000,10000
2018/6/1,彰化縣,新購,3500,5000,10000
2018/7/1,彰化縣,新購,3500,5000,10000
2018/8/1,彰化縣,新購,3500,5000,10000
2018/9/1,彰化縣,新購,3500,5000,10000
2018/10/1,彰化縣,新購,3500,5000,10000
2018/11/1,彰化縣,新購,3500,5000,10000
2018/12/1,彰化縣,新購,3500,5000,10000
2019/1/1,彰化縣,新購,3000,5000,10000
2019/2/1,彰化縣,新購,3000,5000,10000
2019/3/1,彰化縣,新購,3000,5000,10000
2019/4/1,彰化縣,新購,3000,5000,10000
2019/5/1,彰化縣,新購,3000,5000,10000
2019/6/1,彰化縣,新購,3000,5000,10000
2019/7/1,彰化縣,新購,3000,5000,10000
2019/8/1,彰化縣,新購,3000,5000,10000
2019/9/1,彰化縣,新購,3000,5000,10000
2019/10/1,彰化縣,新購,3000,5000,10000
2019/11/1,彰化縣,新購,3000,5000,10000
2019/12/1,彰化縣,新購,3000,5000,10000
2015/8/1,南投縣,新購,5000,1200,10000
2015/9/1,南投縣,新購,5000,1200,10000
2015/10/1,南投縣,新購,5000,1200,10000
2015/11/1,南投縣,新購,5000,1200,10000
2015/12/1,南投縣,新購,5000,1200,10000
2016/1/1,南投縣,新購,4000,1200,10000
2016/2/1,南投縣,新購,4000,1200,10000
2016/3/1,南投縣,新購,4000,1200,10000
2016/4/1,南投縣,新購,4000,1200,10000
2016/5/1,南投縣,新購,4000,1200,10000
2016/6/1,南投縣,新購,4000,1200,10000
2016/7/1,南投縣,新購,4000,1200,10000
2016/8/1,南投縣,新購,4000,1200,10000
